,Date,Close,Open,High,Low
1890,2017-10-28,5726.6,5764.6,5871.0,5654.8
1891,2017-10-27,5764.6,5887.6,5997.8,5692.3
1892,2017-10-26,5887.6,5734.0,5970.4,5689.9
1893,2017-10-25,5734.0,5513.1,5748.0,5375.6
1894,2017-10-24,5513.1,5903.6,5904.6,5463.4
1895,2017-10-23,5903.6,5982.9,6049.0,5644.2
1896,2017-10-22,5982.9,6006.6,6070.6,5723.0
1897,2017-10-21,6006.6,5993.1,6187.2,5874.5
1898,2017-10-20,5993.1,5698.6,6075.3,5611.4
1899,2017-10-19,5698.6,5576.7,5737.4,5517.6
1900,2017-10-18,5575.8,5598.6,5601.3,5114.9
1901,2017-10-17,5598.6,5759.3,5773.3,5521.1
1902,2017-10-16,5759.3,5677.4,5795.3,5576.1
1903,2017-10-15,5688.1,5824.7,5862.7,5448.2
1904,2017-10-14,5824.7,5637.3,5839.6,5568.9
1905,2017-10-13,5637.3,5432.6,5852.8,5392.0
1906,2017-10-12,5432.6,4824.2,5432.6,4815.0
1907,2017-10-11,4824.2,4763.4,4874.9,4718.6
1908,2017-10-10,4763.4,4777.5,4930.0,4722.8
1909,2017-10-09,4777.5,4611.7,4875.4,4556.1
1910,2017-10-08,4611.7,4435.8,4622.9,4419.4
1911,2017-10-07,4435.8,4371.9,4472.9,4319.5
1912,2017-10-06,4371.9,4321.4,4422.1,4296.9
1913,2017-10-05,4321.4,4218.7,4365.8,4143.4
1914,2017-10-04,4218.7,4314.2,4355.3,4183.6
1915,2017-10-03,4314.2,4401.3,4436.0,4230.7
1916,2017-10-02,4401.3,4403.1,4477.4,4364.7
1917,2017-10-01,4403.1,4360.6,4412.6,4258.3
1918,2017-09-30,4360.6,4172.8,4383.3,4164.3
1919,2017-09-29,4172.8,4195.6,4237.5,4030.4
1920,2017-09-28,4195.6,4212.2,4274.6,4112.9
1921,2017-09-27,4212.2,3892.7,4232.4,3882.1
1922,2017-09-26,3892.7,3932.8,3982.3,3858.8
1923,2017-09-25,3932.8,3667.5,3971.5,3665.7
1924,2017-09-24,3667.5,3788.0,3790.9,3633.9
1925,2017-09-23,3788.0,3600.8,3813.4,3563.2
1926,2017-09-22,3600.8,3617.3,3753.5,3505.8
1927,2017-09-21,3617.3,3882.2,3912.8,3576.5
1928,2017-09-20,3882.2,3908.0,4053.0,3846.8
1929,2017-09-19,3908.0,4100.3,4120.7,3852.2
1930,2017-09-18,4100.3,3689.6,4122.8,3689.0
1931,2017-09-17,3689.6,3698.9,3796.6,3485.8
1932,2017-09-16,3698.9,3713.8,3893.7,3551.8
1933,2017-09-15,3713.8,3243.1,3824.4,2979.9
1934,2017-09-14,3243.1,3870.3,3930.7,3219.0
1935,2017-09-13,3870.3,4158.9,4174.6,3752.0
1936,2017-09-12,4158.9,4217.9,4387.8,4075.0
1937,2017-09-11,4217.9,4245.9,4364.4,4134.6
1938,2017-09-10,4245.9,4335.1,4338.1,4032.1
1939,2017-09-09,4335.1,4326.5,4402.1,4185.3
1940,2017-09-08,4326.5,4635.6,4699.6,4130.9
1941,2017-09-07,4635.6,4618.7,4690.5,4493.2
1942,2017-09-06,4618.7,4409.1,4660.0,4401.5
1943,2017-09-05,4409.1,4267.5,4496.7,4004.6
1944,2017-09-04,4267.5,4612.9,4621.0,4098.6
1945,2017-09-03,4612.9,4573.8,4719.8,4397.7
1946,2017-09-02,4573.8,4921.9,4976.5,4448.6
1947,2017-09-01,4921.9,4735.1,4925.2,4690.2
1948,2017-08-31,4735.1,4583.0,4765.1,4580.1
1949,2017-08-30,4583.0,4597.3,4644.1,4491.8
1950,2017-08-29,4597.3,4390.3,4647.8,4350.2
1951,2017-08-28,4390.3,4345.8,4403.1,4195.2
1952,2017-08-27,4345.8,4352.3,4408.2,4321.1
1953,2017-08-26,4352.3,4364.4,4379.3,4263.3
1954,2017-08-25,4364.4,4318.4,4461.7,4292.6
1955,2017-08-24,4318.4,4141.1,4364.1,4111.7
1956,2017-08-23,4141.1,4089.7,4255.6,4070.5
1957,2017-08-22,4089.7,4005.1,4142.7,3612.2
1958,2017-08-21,4005.1,4066.6,4097.3,3966.9
1959,2017-08-20,4066.6,4150.5,4182.3,4034.4
1960,2017-08-19,4150.5,4105.4,4189.7,3957.5
1961,2017-08-18,4105.4,4278.9,4362.7,3978.3
1962,2017-08-17,4278.9,4387.4,4487.5,4194.1
1963,2017-08-16,4387.4,4161.7,4398.1,3938.6
1964,2017-08-15,4161.7,4327.9,4436.5,3837.1
1965,2017-08-14,4327.9,4062.6,4336.7,3978.9
1966,2017-08-13,4062.6,3871.6,4189.4,3847.3
1967,2017-08-12,3871.6,3654.4,3967.3,3611.4
1968,2017-08-11,3654.4,3425.7,3706.5,3409.8
1969,2017-08-10,3425.7,3348.8,3453.8,3322.9
1970,2017-08-09,3348.8,3429.4,3437.1,3251.0
1971,2017-08-08,3429.4,3401.9,3494.9,3357.1
1972,2017-08-07,3401.9,3232.0,3425.1,3198.5
1973,2017-08-06,3232.0,3262.8,3295.1,3166.5
1974,2017-08-05,3262.8,2878.5,3344.0,2875.9
1975,2017-08-04,2878.5,2810.0,2892.7,2779.5
1976,2017-08-03,2810.0,2720.5,2822.9,2717.6
1977,2017-08-02,2720.5,2747.0,2773.8,2668.9
1978,2017-08-01,2747.0,2883.3,2946.0,2659.6
1979,2017-07-31,2883.3,2766.5,2916.3,2723.1
1980,2017-07-30,2766.5,2733.5,2773.1,2621.7
1981,2017-07-29,2733.5,2806.8,2812.1,2699.4
1982,2017-07-28,2806.8,2691.9,2843.8,2683.6
1983,2017-07-27,2691.9,2559.2,2712.9,2547.7
1984,2017-07-26,2559.2,2582.6,2631.7,2441.5
1985,2017-07-25,2582.6,2763.4,2779.1,2472.6
1986,2017-07-24,2763.4,2756.6,2798.9,2715.7
1987,2017-07-23,2756.6,2836.5,2856.7,2675.6
1988,2017-07-22,2836.5,2675.1,2876.7,2658.6
1989,2017-07-21,2675.1,2866.0,2874.0,2622.5
1990,2017-07-20,2866.0,2282.6,2932.8,2282.1
1991,2017-07-19,2282.6,2320.2,2412.4,2243.1
1992,2017-07-18,2320.2,2233.4,2400.7,2164.6
1993,2017-07-17,2233.4,1914.1,2233.8,1913.8
1994,2017-07-16,1914.1,1975.1,2044.4,1809.0
1995,2017-07-15,1975.1,2234.2,2237.1,1974.0
1996,2017-07-14,2234.2,2362.4,2370.5,2165.4
1997,2017-07-13,2362.4,2403.1,2436.7,2335.0
1998,2017-07-12,2403.1,2324.3,2424.8,2262.1
1999,2017-07-11,2324.3,2344.0,2412.8,2265.5
2000,2017-07-10,2344.0,2511.4,2530.3,2271.8
2001,2017-07-09,2511.4,2564.9,2576.7,2509.6
2002,2017-07-08,2564.9,2513.9,2568.7,2480.6
2003,2017-07-07,2513.9,2614.2,2617.5,2484.7
2004,2017-07-06,2614.2,2627.9,2634.8,2581.8
2005,2017-07-05,2627.9,2617.3,2642.7,2562.0
2006,2017-07-04,2617.3,2572.5,2658.7,2570.0
2007,2017-07-03,2572.5,2536.5,2617.5,2506.3
2008,2017-07-02,2536.5,2424.6,2555.3,2375.9
2009,2017-07-01,2424.6,2480.6,2529.6,2387.5
2010,2017-06-30,2480.6,2558.4,2576.3,2469.5
2011,2017-06-29,2558.4,2577.7,2605.9,2526.5
2012,2017-06-28,2577.7,2583.8,2616.9,2490.1
2013,2017-06-27,2583.8,2446.1,2585.1,2309.6
2014,2017-06-26,2446.1,2541.6,2584.8,2327.3
2015,2017-06-25,2541.6,2590.1,2660.7,2472.4
2016,2017-06-24,2590.1,2710.4,2741.6,2540.4
2017,2017-06-23,2710.4,2722.8,2759.7,2699.5
2018,2017-06-22,2722.8,2677.6,2757.3,2623.2
2019,2017-06-21,2677.6,2754.4,2804.4,2624.4
2020,2017-06-20,2754.4,2616.8,2800.5,2614.0
2021,2017-06-19,2616.8,2539.6,2617.8,2518.8
2022,2017-06-18,2539.6,2655.1,2676.0,2488.6
2023,2017-06-17,2655.1,2508.6,2690.7,2454.8
2024,2017-06-16,2508.6,2442.5,2536.4,2335.3
2025,2017-06-15,2442.5,2467.3,2521.6,2125.6
2026,2017-06-14,2467.3,2713.0,2803.7,2349.0
2027,2017-06-13,2713.0,2656.8,2784.8,2647.4
2028,2017-06-12,2656.8,2973.4,2985.1,2483.6
2029,2017-06-11,2973.4,2900.3,2977.9,2867.3
2030,2017-06-10,2900.3,2811.4,2914.2,2807.4
2031,2017-06-09,2811.4,2798.8,2852.1,2786.1
2032,2017-06-08,2798.8,2691.5,2808.4,2623.6
2033,2017-06-07,2691.5,2870.5,2880.9,2626.6
2034,2017-06-06,2870.5,2705.0,2931.2,2699.7
2035,2017-06-05,2705.0,2524.1,2705.4,2523.9
2036,2017-06-04,2524.1,2545.4,2559.8,2478.2
2037,2017-06-03,2545.4,2492.6,2582.8,2449.9
2038,2017-06-02,2492.6,2412.6,2494.0,2385.6
2039,2017-06-01,2412.6,2303.3,2460.8,2303.3
2040,2017-05-31,2303.3,2192.6,2330.6,2168.4
2041,2017-05-30,2192.6,2278.2,2329.3,2147.1
2042,2017-05-29,2278.2,2189.0,2337.4,2117.3
2043,2017-05-28,2189.0,2052.4,2300.5,2051.1
2044,2017-05-27,2052.4,2244.9,2322.4,1868.6
2045,2017-05-26,2244.9,2307.0,2616.5,2051.4
2046,2017-05-25,2307.2,2445.3,2781.8,2210.5
2047,2017-05-24,2445.3,2272.6,2497.0,2263.3
2048,2017-05-23,2272.6,2124.4,2286.3,2110.8
2049,2017-05-22,2124.4,2044.2,2264.8,1998.6
2050,2017-05-21,2044.2,2040.2,2094.9,1980.1
2051,2017-05-20,2040.2,1962.0,2048.4,1944.4
2052,2017-05-19,1962.0,1881.0,1969.7,1875.3
2053,2017-05-18,1881.0,1801.3,1980.5,1791.1
2054,2017-05-17,1801.3,1729.3,1842.8,1704.0
2055,2017-05-16,1729.3,1708.9,1752.6,1653.7
2056,2017-05-15,1708.9,1772.6,1776.7,1656.8
2057,2017-05-14,1772.6,1763.7,1802.8,1736.1
2058,2017-05-13,1763.7,1686.4,1770.5,1594.6
2059,2017-05-12,1686.4,1819.3,1822.5,1641.2
2060,2017-05-11,1819.3,1752.3,1864.8,1741.5
2061,2017-05-10,1752.3,1697.5,1766.2,1665.0
2062,2017-05-09,1697.5,1664.5,1757.4,1620.0
2063,2017-05-08,1664.5,1554.4,1667.7,1552.9
2064,2017-05-07,1554.4,1545.3,1572.9,1495.2
2065,2017-05-06,1545.3,1507.8,1560.4,1503.9
2066,2017-05-05,1507.8,1516.8,1588.1,1485.0
2067,2017-05-04,1516.8,1485.6,1609.8,1437.1
2068,2017-05-03,1485.6,1445.9,1496.4,1424.1
2069,2017-05-02,1445.9,1415.8,1471.1,1394.8
2070,2017-05-01,1415.8,1351.9,1448.7,1342.8
2071,2017-04-30,1351.9,1336.3,1358.9,1309.7
2072,2017-04-29,1336.3,1329.6,1343.7,1314.2
2073,2017-04-28,1329.6,1332.9,1356.2,1287.6
2074,2017-04-27,1332.9,1286.6,1346.8,1285.3
2075,2017-04-26,1286.6,1264.3,1309.2,1263.0
2076,2017-04-25,1264.3,1248.2,1272.6,1244.2
2077,2017-04-24,1248.2,1249.1,1256.4,1234.9
2078,2017-04-23,1249.1,1240.9,1256.2,1223.1
2079,2017-04-22,1240.9,1249.6,1257.0,1215.8
2080,2017-04-21,1249.6,1238.1,1257.0,1235.6
2081,2017-04-20,1238.1,1215.2,1246.6,1210.7
2082,2017-04-19,1215.2,1206.1,1218.2,1194.1
2083,2017-04-18,1206.1,1194.0,1213.9,1191.1
2084,2017-04-17,1194.0,1176.8,1203.0,1172.8
2085,2017-04-16,1176.8,1177.0,1188.0,1166.7
2086,2017-04-15,1177.0,1177.3,1194.8,841.5
2087,2017-04-14,1177.3,1176.2,1195.4,1162.2
2088,2017-04-13,1176.2,1212.5,1218.7,1150.3
2089,2017-04-12,1212.5,1220.7,1225.5,1207.4
2090,2017-04-11,1220.7,1206.7,1229.6,1195.8
2091,2017-04-10,1206.7,1204.3,1214.9,1194.8
2092,2017-04-09,1204.3,1180.8,1215.1,1174.0
2093,2017-04-08,1180.8,1190.5,1198.2,1166.7
2094,2017-04-07,1190.5,1188.7,1201.2,1173.2
2095,2017-04-06,1188.7,1129.9,1201.6,1130.5
2096,2017-04-05,1129.9,1141.8,1143.8,1110.1
2097,2017-04-04,1141.8,1147.6,1161.2,1122.2
2098,2017-04-03,1147.6,1097.4,1157.9,1095.6
2099,2017-04-02,1097.4,1086.1,1109.5,1074.2
2100,2017-04-01,1086.1,1079.1,1103.7,1067.5
2101,2017-03-31,1079.1,1037.9,1088.2,1035.2
2102,2017-03-30,1037.9,1041.9,1052.7,1020.9
2103,2017-03-29,1041.9,1044.4,1058.7,1008.3
2104,2017-03-28,1044.4,1045.1,1068.4,1015.5
2105,2017-03-27,1045.1,969.4,1048.8,961.8
2106,2017-03-26,969.4,966.3,1004.3,946.7
2107,2017-03-25,966.3,939.7,996.0,890.4
2108,2017-03-24,939.7,1035.0,1038.4,927.3
2109,2017-03-23,1035.0,1044.7,1062.8,1022.0
2110,2017-03-22,1044.7,1121.3,1121.9,997.8
